type,category,confidenceLevel,explanation,quantity
product,Primary,1.0,Palm kernel oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Maintenance/Repair Service,0.8,The text mentions 'NoKontrak' which is a maintenance and repair service for oil palm fruit.,100
product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,210
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and cosmetics.",0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
service,Maintenance/Repair Service,0.8,"The text mentions the date and period of the maintenance service, indicating that it is related to the upkeep of a product or system.",1
service,Transport service,0.9,TBS Periode 28 Juni 2021 refers to a transportation service for palm oil products.,1
service,Maintenance/Repair Service,0.8,The text refers to the payment of a service contract for the maintenance and repair of crude palm oil processing equipment.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
service,Maintenance/Repair Service,0.9,TBS Periode 25 is a maintenance and repair service for oil palm trees.,1
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
service,Transport service,0.8,TBS PER 1631 DES 2021 is a transportation service for palm oil products.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
service,Maintenance/Repair Service,0.8,Tuslaag TBS Div 6 is a maintenance and repair service for oil palm processing machines.,1
service,Maintenance/Repair Service,0.8,The text refers to the payment of a service contract for the maintenance and repair of palm oil processing equipment.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
service,Maintenance/Repair Service,0.8,Palm kernel kontrak is a service contract for maintenance and repair of palm oil processing machinery.,1
service,Transport service,0.8,The text mentions 'Panjar Penjualan CPO' which is a transportation service for palm oil products.,1
service,Transport service,0.8,TBS PERIODE 30 refers to a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,0.8,Ongkos Angkut is a transportation service provider,1
service,Maintenance/Repair Service,0.8,TBS Periode 04 refers to a maintenance or repair service for palm oil processing equipment.,1
service,Maintenance/Repair Service,0.8,"The text mentions 'TBS Periode 23' and '27 Juli 2021', which suggests that the product is related to maintenance or repair services for palm oil processing equipment.",1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
service,Transport Service,0.8,Ongkos Angkut CPO is a transport service provider for oil palm fruit,1
service,Maintenance/Repair Service,0.8,The text mentions 'Periode' which is a service related to maintenance and repair of palm oil processing equipment.,1
product,Primary,1.0,Pembelian Palm Kernel PK is a product of palm oil fruit.,100
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,0
service,Transport Service,0.85,Ongkos Angkut CPO is a transport service provider for oil palm fruit,1
service,Transport service,0.8,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Uang muka crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,95
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,95
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,16000.0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,95
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,1
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,98
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,98
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,98
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
service,Maintenance/Repair Service,0.8,The text refers to a service contract for the maintenance and repair of palm kernel processing equipment.,1
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",90000
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
product,Primary,1.0,Palm kernel is a part of the oil palm fruit and is directly used for processing palm oil.,0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
service,Maintenance/Repair Service,0.8,The text refers to a maintenance and repair service for palm kernel oil processing equipment.,1
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Maintenance/Repair Service,0.8,TBS PERIODE 23 refers to a maintenance or repair service for palm oil processing equipment.,1
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Angkutan CPO (Oil Palm Fruit Transport) is a service that provides transportation of oil palm fruit from one location to another.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Maintenance/Repair Service,0.8,PANJAR PALM KERNEL KONTRAK NO 010SJMSKJBPKII2021 is a maintenance and repair service contract for palm kernel processing.,1
service,Maintenance/Repair Service,0.8,PANJAR PALM KERNEL KONTRAK NO 098SJMSKJBPKXI2021 is a maintenance or repair service for palm kernel processing machines.,1
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Penjuanal CPO is a product of palm oil fruit.,136
service,Transport service,0.8,Tuslaag TBS Div 1 is a transportation service provider.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
service,Maintenance/Repair Service,0.8,The text mentions 'PKPalm Kernel' which is a service related to palm oil processing.,1
service,Maintenance/Repair Service,0.8,"The text refers to a maintenance and repair service for palm kernel, which is a product of the oil palm fruit.",1
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,CPO Crude Palm Oil Kontrak 037CPOIMTLILIX2021 is a product of palm oil fruit.,1
product,Primary,1.0,Oil palm fruit is a primary product.,280
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
service,Transport service,0.9,Ongkos Angkut is a transportation service provider for oil palm fruit.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Maintenance/Repair Service,0.8,The text mentions 'TBS Periode' which is a common term used in the maintenance and repair services industry.,1
product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
product,Primary,1.0,"CPO Crude Palm Oil is a product that falls under the category of Primary, as it is directly related to the processing of palm oil.",100
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,95000
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Transport service,0.8,Palm kernel is a raw material for palm oil processing and transportation is required to deliver it to the processing plant.,95000
service,Maintenance/Repair Service,0.8,The text refers to the payment of a service contract for palm oil processing.,1
service,Maintenance/Repair Service,0.9,The text mentions 'Pembayaran Uang Muka' which is a payment service for palm oil processing contracts.,1
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,100
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
product,Primary,1.0,INTI KELAPA SAWIT is a type of oil palm fruit which is a primary product.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,PENJUALAN CPO refers to the sale of primary products such as palm oil fruit.,20
product,Primary,1.0,Oil palm fruit is a primary product.,0
service,Transport service,0.8,The text mentions 'Panjar Penjualan CPO' which is a transportation service for palm oil products.,1
service,Transport service,0.8,The text mentions 'Panjar Penjualan CPO' which is a transportation service for palm oil products.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Transport service,0.8,The text mentions 'Panjar Penjualan CPO' which is a transportation service for palm oil products.,1
service,Maintenance/Repair Service,0.8,"The text mentions 'Penjualan' which means sale in Indonesian language, and it also includes the words 'CPO' which is an abbreviation for Crude Palm Oil, indicating that the product being sold is related to palm oil processing.",1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Transport service,0.8,The text mentions 'Panjar Penjualan CPO' which is a transportation service for palm oil products.,1
service,Maintenance/Repair Service,0.8,"The text mentions 'Penjualan' which means sale in Indonesian, and 'CPOPNNIIMTXI2021' which is a specific date and time related to the maintenance/repair service",1
service,Transport service,0.8,"The text mentions 'Panjar Penjualan CPO', which is a transportation service for palm oil products.",1
service,Maintenance/Repair Service,0.8,The text mentions 'Penjualan' which is a service related to the sale of palm oil products.,1
service,Transport service,0.8,The text mentions 'Panjar Penjualan CPO' which is a transportation service for palm oil products.,1
service,Transport service,0.8,The text refers to the sale of crude palm oil (CPO) which is a service.,201
service,Transport service,0.8,"The text refers to a sale of palm oil products, indicating that the product is related to transportation of goods.",262
product,Primary,1.0,Oil palm fruit,265
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Transport service,0.9,The text mentions 'Panjar Penjualan CPO' which is a service for selling palm oil products.,1
service,Transport service,0.8,The text mentions 'Panjar Penjualan CPO' which is a transportation service for palm oil products.,1
product,Primary,1.0,Uang muka PK PALM KERNEL is a product of palm kernel.,98
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for oil palm fruit,1
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Maintenance/Repair Service,0.8,TBS Periode 19 Juli 2021 refers to a maintenance or repair service for palm oil processing machines or equipment.,1
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Oil palm fruit is a primary product of the oil palm tree.,0
product,Primary,1.0,Minyak Sawit is a type of palm oil product.,0
product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
product,Primary,1.0,Minyak Sawit is a type of oil extracted from the fruit of the oil palm tree.,0
service,Maintenance/Repair Service,0.8,TBS Periode 2730 Oktober 2021 refers to a maintenance or repair service for palm oil processing machines or equipment.,1
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,0
product,Primary,1.0,CPO Crude Palm Oil is a product derived from the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,CPO Crude Palm Oil is a product derived from the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a part of the oil palm fruit and is used directly in the processing of palm oil.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Minyak Sawit is a type of palm oil product.,0
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,CPO Crude Palm Oil is a primary product of the oil palm fruit.,100
product,Primary,1.0,Crude palm oil (CPO) is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Pembelian Crude Palm Oil CPO is a product as it is a raw material of palm oil fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
product,Primary,1.0,CPO Crude Palm Oil is a product made from the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product of the oil palm fruit.,0
product,Primary,1.0,"CPO Crude Palm Oil is a product that falls under the category of Primary, as it is directly related to the processing of palm oil.",1000.0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,CPO crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil (CPO) is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
product,Primary,1.0,PENJUALAN CPO 003CPOKSPSIPI2021 is a product of palm oil fruit.,1
service,Maintenance/Repair Service,0.8,The text mentions 'PENJUALAN CPO' which is a service related to the maintenance and repair of palm oil processing equipment.,1
product,Primary,1.0,PENJUALAN CPO is a product of oil palm fruit.,1
product,Primary,1.0,Penjuanal CPO is a product of palm oil fruit.,0
product,Primary,1.0,Penjuanal CPO is a product of palm oil fruit.,81
product,Primary,1.0,Penjuanal CPO is a product of palm oil fruit.,0
product,Primary,1.0,Penjuanal CPO is a product of palm oil fruit.,143
product,Primary,1.0,Oil palm fruit is a primary product of the oil palm tree.,0
service,Maintenance/Repair Service,0.9,"The text mentions 'penjualan' which means sale in Bahasa Indonesia, and 'CPOP' which is an abbreviation for Crude Palm Oil (CPO), indicating that the product being sold is related to palm oil processing.",1
product,Primary,1.0,"Penjualan CPO refers to the sale of crude palm oil, which is a primary product derived from the oil palm fruit.",5000 kg
product,Primary,1.0,"The text refers to the sale of crude palm oil (CPO), which is a primary product derived from the oil palm fruit.",0
product,Primary,1.0,"The text refers to the sale of palm oil, which is a primary product of the oil palm fruit.",0
product,Primary,1.0,Oil palm fruit is a primary product.,0
product,Primary,1.0,Oil palm fruit is a primary product.,0
product,Primary,1.0,Oil palm fruit is a primary product,0
product,Primary,1.0,"The text refers to the sale of crude palm oil (CPO), which is a primary product derived from the oil palm fruit.",0
product,Primary,1.0,Oil palm fruit is a primary product.,0
product,Primary,1.0,Oil palm fruit is a primary product.,90
product,Primary,1.0,"Penjualan CPO refers to the sale of crude palm oil, which is a primary product derived from the oil palm fruit.",112
product,Primary,1.0,Oil palm fruit is a primary product,143
product,Primary,1.0,"Penjualan CPO refers to the sale of crude palm oil, which is a primary product derived from the oil palm fruit.",190
product,Primary,1.0,"The text mentions the sale of crude palm oil (CPO), which is a primary product derived from the oil palm fruit.",0
product,Primary,1.0,Oil palm fruit is a primary product.,202
product,Primary,1.0,Oil palm fruit is a primary product.,207
product,Primary,1.0,Oil palm fruit is a primary product.,230
product,Primary,1.0,"The text refers to the sale of crude palm oil (CPO), which is a primary product derived from the oil palm fruit.",235
product,Primary,1.0,"The text refers to the sale of crude palm oil (CPO), which is a primary product derived from the oil palm fruit.",241
product,Primary,1.0,"The text refers to the sale of crude palm oil (CPO), which is a primary product derived from the oil palm fruit.",261
product,Primary,1.0,"The text refers to the sale of crude palm oil (CPO), which is a primary product derived from the oil palm fruit.",266
product,Primary,1.0,Oil palm fruit is a primary product.,271
product,Primary,1.0,Oil palm fruit is a primary product of the oil palm tree.,281
product,Primary,1.0,"Penjualan CPO refers to the sale of crude palm oil, which is a primary product derived from the oil palm fruit.",297
product,Primary,1.0,"Penjualan CPO refers to the sale of crude palm oil, which is a primary product derived from the oil palm fruit.",318
product,Primary,1.0,The text mentions the quantity of CPO (320 SRM CP OP KU XI 2021) which is a primary product of oil palm fruit.,320
product,Primary,1.0,Oil palm fruit is a primary product.,330
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product derived from the oil palm fruit.,0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product derived from the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil (CPO) is a primary product derived from the oil palm fruit.,0
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
service,Transport service,0.95,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for oil palm fruit.,1
product,Primary,1.0,Palm kernel is a part of the oil palm fruit and is directly used for processing palm oil.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel oil is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Ongkos angkut CPO refers to the transportation service for palm oil products.,1
service,Maintenance/Repair Service,0.8,The text mentions 'TBS Periode' which is a service related to the maintenance and repair of palm oil processing machines.,1
service,Transport service,0.8,Ongkos Angkut is a transportation service provider for oil palm fruit.,1
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Transport service,0.8,Ongkos Angkut is a transportation service provider for oil palm fruit,1
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Palm oil fruit is a primary product of the oil palm tree.,0
product,Primary,1.0,Penjuanal CPO is a product of palm oil fruit.,136
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
service,Transport service,0.95,Ongkos Angkut CPO is a transportation service for palm oil products.,1
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
service,Maintenance/Repair Service,0.9,The text mentions 'TBS Periode' which is a service related to the maintenance and repair of oil palm trees.,1
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,20
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Transport service,1.0,Ongkos angkut CPO refers to the transportation service for palm oil products.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,74
service,Transport service,0.9,Ongkos Angkut is a transportation service provider,1
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Oil palm fruit is a primary product.,125
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Maintenance/Repair Service,0.8,The text mentions 'NoKontrak' which is a maintenance and repair service for oil palm trees.,1
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,95
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,95
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,95
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,95
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,10000.0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,123456789
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude Palm Oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as food, animal feed, and biofuel.",0
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit.,0
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Maintenance/Repair Service,0.8,"Palm kernel pelunasan is a service that involves the processing of palm kernel into various products such as palm kernel oil, palm kernel meal, and other derivatives.",1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
service,Maintenance/Repair Service,0.8,PKPalm Kernel NoKontrak is a maintenance and repair service for palm kernel processing machines.,179
product,Primary,1.0,Palm kernel is a part of the oil palm fruit and is directly used in the processing of palm oil.,0
service,Maintenance/Repair Service,0.8,The text refers to the payment of a maintenance fee for a contract related to crude palm oil processing.,1
service,Transport service,0.9,TBS PERIODE 26 refers to a transportation service for palm oil products.,1
product,Primary,1.0,Palm kernel is a primary part of the oil palm fruit and is directly used for processing palm oil.,0
service,Maintenance/Repair Service,0.8,TBS PERIODE 01 SD 02 FEBRUARI 2021 refers to a maintenance or repair service for palm oil processing equipment.,1
service,Transport service,0.9,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100.0
service,Maintenance/Repair Service,0.8,The text mentions 'TBS Periode' which is a service related to the maintenance and repair of oil palm trees.,1
product,Primary,1.0,"Palm kernel is a part of the oil palm fruit and is used for various purposes such as animal feed, biofuel, and industrial applications.",0
service,Maintenance/Repair Service,0.8,The text mentions 'TBS Periode' which is a service related to palm oil processing.,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,100
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
product,Primary,1.0,Crude palm oil is a primary product of the oil palm fruit.,0
service,Maintenance/Repair Service,0.8,The text mentions 'TBS Periode' which is a service related to palm oil processing.,1
product,Primary,1.0,Palm kernel is a primary product of oil palm fruit.,0
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
service,Transport service,1.0,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Transport service,0.9,Transport of CPO via Sungai,1
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Transport service,0.8,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Transport service,0.95,Ongkos Angkut CPO is a transportation service for palm oil products.,1
service,Maintenance/Repair Service,0.9,The text mentions 'TBS Periode' which is a service related to palm oil processing.,1
service,Transport service,1.0,Ongkos Angkut is a transportation service provider,1
service,Transport service,1.0,Ongkos Angkut is a transportation service provider.,1
